set DAGUR := Man Tri Mid Fim Fos Lau Sun;
set VINNA := 
			 ManTriMidFimLau 
			 ManTriMidFimSun 
			 ManTriMidFosLau
			 ManTriMidFosSun
			 ManTriFimFosLau 
			 ManTriFimFosSun
			 ManMidFimFosLau 
			 ManMidFimFosSun
			 TriMidFimFosLau 
			 TriMidFimFosSun;
			 
param vaktir : Man Tri Mid Fim Fos Lau Sun :=
 ManTriMidFimLau    1   1   1   1   0   1   0
 ManTriMidFimSun    1   1   1   1   0   0   1
 ManTriMidFosLau    1   1   1   0   1   1   0
 ManTriMidFosSun    1   1   1   0   1   0   1
 ManTriFimFosLau    1   1   0   1   1   1   0
 ManTriFimFosSun    1   1   0   1   1   0   1
 ManMidFimFosLau    1   0   1   1   1   1   0
 ManMidFimFosSun    1   0   1   1   1   0   1
 TriMidFimFosLau    0   1   1   1   1   1   0
 TriMidFimFosSun    0   1   1   1   1   0   1;

param min_starfsmenn := Man 45 Tri 45 Mid 40 Fim 50 Fos 65 Lau 35 Sun 35;
 
