12,12,11,12,12,11,0,12,12,8
0,6,12,6,4,0,0,0,3,12
9,10,12,12,12,9,0,12,12,12
9,4,2,12,12,9,12,10,12,12
12,12,12,12,12,12,12,12,12,12
9,8,12,12,12,11,12,12,12,8
12,10,12,12,12,12,12,2,12,8
0,10,12,12,12,6,12,0,8,12
5,10,12,12,12,6,0,0,0,8
0,8,12,12,4,0,12,0,12,12
12,10,12,12,8,12,12,12,12,8
12,12,12,12,12,9,12,12,12,12
6,10,12,6,12,12,0,10,12,6
3,8,12,12,12,9,12,0,12,8
6,12,12,12,12,7,0,9,12,10
12,12,12,6,12,0,0,0,3,10
9,12,12,12,4,2,12,12,12,12
0,12,12,12,12,0,12,12,10,10
0,6,10,12,12,0,0,0,3,0
12,12,0,12,12,12,12,3,3,12
12,8,12,12,12,9,0,12,0,12
12,10,12,8,12,9,12,0,3,12
0,10,10,12,10,12,12,0,10,4
9,10,12,12,12,12,0,0,12,12
12,8,12,12,12,9,12,12,3,8
6,6,12,0,6,0,12,0,3,6
12,8,12,6,12,0,12,12,8,12
0,10,8,12,12,0,12,0,2,7
9,6,0,6,12,4,0,0,12,6
12,8,2,12,12,12,12,0,10,12
9,9,12,12,12,9,12,2,2,12
3,4,10,6,4,0,0,0,2,6
12,12,12,12,12,9,12,12,3,12
9,10,12,6,12,11,0,0,12,12
6,8,12,12,12,0,12,0,10,4
12,6,12,12,12,6,0,3,3,8
12,8,12,12,8,12,12,4,12,10
12,10,12,12,12,6,12,12,3,8
12,10,12,12,12,6,12,3,12,8
3,8,12,6,8,3,12,12,0,12
12,8,12,6,2,8,0,0,0,0
3,4,9,12,12,0,12,9,0,12
3,4,12,0,12,4,0,0,12,8
12,10,12,12,12,6,12,3,12,12
0,10,12,12,12,6,0,3,12,6
0,2,0,12,12,0,12,0,3,10
12,10,12,12,12,9,0,12,12,12
12,12,12,12,4,0,12,12,6,10
1,1,10,12,2,11,12,3,2,12
12,10,10,12,12,11,12,0,0,12
6,12,12,12,12,12,12,0,0,12
10,6,12,6,12,3,12,3,10,12
12,10,12,12,12,8,12,12,12,12
12,12,8,6,12,12,12,12,12,12
0,8,12,12,12,6,0,12,12,4
12,10,12,12,12,9,0,12,12,8
3,10,12,12,12,12,0,12,12,12
12,10,10,12,12,6,12,3,10,8
9,10,12,12,8,12,12,0,7,12
0,10,12,12,12,0,12,12,7,12
3,4,12,12,12,12,12,10,3,10
9,10,12,12,12,12,12,12,12,12
12,8,10,6,12,6,12,0,3,10
9,10,12,7,12,6,4,3,12,10
9,7,10,12,12,6,12,12,12,10
12,10,12,12,12,12,0,12,12,8
12,10,12,6,8,12,12,3,12,8
12,12,12,6,12,0,0,0,12,6
9,8,12,12,12,12,12,0,10,8
12,12,12,12,12,12,12,12,12,12
9,8,12,12,12,12,12,12,12,12
12,8,12,12,12,3,12,0,3,12
0,8,12,12,12,0,12,0,12,12
9,4,10,6,12,12,12,12,3,4
0,10,12,6,12,3,12,0,12,6
12,12,12,12,12,6,0,12,10,8
12,10,12,6,12,12,12,12,0,8
12,10,12,12,12,9,12,0,3,8
0,8,8,12,12,0,12,0,3,10
9,12,6,12,12,9,12,0,11,10
0,10,12,12,12,12,12,12,12,8
12,10,12,12,6,0,0,0,0,6
6,10,12,12,12,3,12,0,12,8
9,10,12,12,12,0,12,0,12,6
12,10,12,0,12,9,0,10,3,8
12,10,12,12,4,9,12,0,10,12
12,12,10,2,12,6,12,12,2,12
12,10,12,0,12,2,12,12,3,12
6,12,12,6,12,6,12,0,12,8
0,4,6,12,12,0,12,0,12,6
9,10,12,12,12,9,12,12,12,8
12,10,12,12,12,0,12,3,12,12
